episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
71, -3462.6554812192917, 2, 9.41025318299944, 275, 54161,                                             54161, 12.073373794555664, 297.9156188964844
72, 1279.1579205989838, 1, 22.25775711499955, 661, 54822,                                             54822, 11.102621078491211, 298.7008361816406
73, -4008.2089343070984, 2, 4.91466725400096, 136, 54958,                                             54958, 11.561713218688965, 300.8843994140625
74, 1153.3416944742203, 1, 18.45134642099947, 549, 55507,                                             55507, 11.986676216125488, 302.9538879394531
75, -5345.16380366683, 2, 28.2506834550004, 840, 56347,                                             56347, 11.554744720458984, 301.3699645996094
76, 1564.8973996043205, 1, 17.385440537998875, 508, 56855,                                             56855, 11.402626037597656, 298.9410400390625
77, -3488.7047629356384, 2, 7.798582879000605, 226, 57081,                                             57081, 10.905699729919434, 298.1559753417969
78, -1136.517306625843, 1, 24.198607313999673, 713, 57794,                                             57794, 11.473584175109863, 299.8592529296875
79, -2952.608743906021, 2, 5.776292069000192, 166, 57960,                                             57960, 11.89356517791748, 300.8210754394531
80, -3281.29873251915, 2, 12.151065465999636, 353, 58313,                                             58313, 12.382308959960938, 299.9700012207031
81, -3892.9712494015694, 1, 32.33044619300017, 952, 59265,                                             59265, 11.575121879577637, 300.2462463378906
82, -3093.198219537735, 2, 7.334108880999338, 206, 59471,                                             59471, 11.628890037536621, 301.17120361328125
83, -2976.226853430271, 3, 13.000142479000715, 385, 59856,                                             59856, 12.411576271057129, 301.1009826660156
84, 1823.646787405014, 1, 16.17664041900025, 470, 60326,                                             60326, 12.255699157714844, 300.4937438964844
85, -4672.549056768417, 2, 6.338508286000433, 184, 60510,                                             60510, 12.45578670501709, 301.04998779296875
86, 2193.160036444664, 1, 6.388145336000889, 188, 60698,                                             60698, 12.413113594055176, 301.5680847167969
87, -4204.947745323181, 2, 18.595660620998387, 544, 61242,                                             61242, 12.231629371643066, 302.482666015625
88, 1695.2261219620705, 1, 11.99059051399854, 357, 61599,                                             61599, 12.748446464538574, 300.34503173828125
89, -2943.048267543316, 3, 10.55480158499995, 304, 61903,                                             61903, 12.4199857711792, 303.2369689941406
90, 1940.1597554683685, 1, 13.010452693999468, 386, 62289,                                             62289, 12.495244026184082, 304.51739501953125
91, -6903.119142830372, 2, 28.67462567899929, 843, 63132,                                             63132, 12.974918365478516, 304.7095031738281
92, 1046.4278468936682, 1, 10.962003954000465, 322, 63454,                                             63454, 12.888740539550781, 305.17205810546875
93, -3500.1209297180176, 3, 13.180555644999913, 383, 63837,                                             63837, 12.650209426879883, 303.039306640625
94, -3878.0315147042274, 2, 8.961956932000248, 259, 64096,                                             64096, 12.422525405883789, 306.5723571777344
95, 499.78899389505386, 1, 24.295970643001056, 707, 64803,                                             64803, 13.131558418273926, 303.64678955078125
96, 515.613634288311, 1, 22.223423674000514, 644, 65447,                                             65447, 13.070724487304688, 305.7118225097656
97, -3584.6176543831825, 2, 17.248214269000528, 509, 65956,                                             65956, 12.824862480163574, 303.85491943359375
98, -3334.7407596707344, 3, 14.363566738000372, 418, 66374,                                             66374, 12.815848350524902, 303.2203369140625
99, 2283.743855893612, 1, 5.984562456000276, 170, 66544,                                             66544, 12.14730167388916, 303.8782958984375
100, 2021.3524782061577, 1, 10.764566805999493, 313, 66857,                                             66857, 12.507977485656738, 303.4666748046875
101, -5367.821520805359, 2, 21.497272541999337, 635, 67492,                                             67492, 13.153646469116211, 305.93035888671875
102, 2313.455017864704, 1, 5.185382502000721, 150, 67642,                                             67642, 13.273429870605469, 306.21075439453125
103, 1139.166935622692, 1, 24.82334214399998, 725, 68367,                                             68367, 12.952857971191406, 304.7633056640625
104, -3196.825737953186, 3, 10.221064743998795, 295, 68662,                                             68662, 13.511760711669922, 302.6958923339844
105, -3218.718861281872, 2, 12.551588493999589, 368, 69030,                                             69030, 13.46573543548584, 305.6256408691406
